(goals, 0010000000110110)
(Supplies, 0010000000110111000)
(Pettibone, 0010000000110111001)
(sabotage, 001000000011011101)
(havoc, 001000000011011110)
(woozy, 0010000000110111110)
(mysticism, 0010000000110111111)
(evaded, 0010000000111000)
(stockings, 00100000001110010)
(gear, 001000000011100110)
(Liz, 001000000011100111)
(comparing, 0010000000111010000)
(traits, 0010000000111010001)
(seesaw, 0010000000111010010)
(duck, 0010000000111010011)
(dizzying, 001000000011101010)
(disappointments, 0010000000111010110)
(liars, 0010000000111010111)
(resembling, 0010000000111011)
(width, 00100000001111000)
(shatter, 001000000011110010)
(bomb, 001000000011110011)
(handy, 0010000000111101000)
(blossoms, 0010000000111101001)
(lingered, 0010000000111101010)
(frying, 0010000000111101011)
(Off, 0010000000111101100)
(protrude, 0010000000111101101)
(topic, 001000000011110111)
(Shale, 0010000000111110000)
(job's, 0010000000111110001)
(planting, 0010000000111110010)
(Calvin, 0010000000111110011)
(Light, 001000000011111010)
(bottomless, 0010000000111110110)
(futureless, 0010000000111110111)
(accusing, 00100000001111110)
(sore, 001000000011111110)
(understudy, 001000000011111111)
(girl, 0010000001000)
(undressing, 00100000010010000)
(evidently, 0010000001001000100)
(detected, 0010000001001000101)
(overzealous, 0010000001001000110)
(discourages, 0010000001001000111)
(deemed, 0010000001001001000)
(tonal, 0010000001001001001)
(molded, 0010000001001001010)
(timidity, 0010000001001001011)
(molecular, 001000000100100110)
(sloppily, 0010000001001001110)
(bureaucratic, 0010000001001001111)
(Balch, 0010000001001010000)
(Commission, 0010000001001010001)
(solicitous, 001000000100101001)
(casting, 00100000010010101)
(snatching, 001000000100101100)
(Damned, 0010000001001011010)
(budget's, 0010000001001011011)
(mouthpiece, 0010000001001011100)
(dwindling, 0010000001001011101)
(barter, 001000000100101111)
(miasma, 0010000001001100000)
(pronounces, 0010000001001100001)
(boiler, 001000000100110001)
(churches, 0010000001001100100)
(exasperated, 0010000001001100101)
(US, 001000000100110011)
(errand, 001000000100110100)
(esthetic, 001000000100110101)
(recites, 001000000100110110)
(shopworn, 001000000100110111)
(philosophers, 0010000001001110)
(dejected, 0010000001001111000)
(uninvited, 0010000001001111001)
(goblet, 001000000100111101)
(Criminals, 0010000001001111100)
(invaders, 0010000001001111101)
(listless, 001000000100111111)
(noted, 00100000010100)
(imperfection, 0010000001010100000)
(looter's, 0010000001010100001)
(automaton, 001000000101010001)
(automatons, 001000000101010010)
(oblige, 0010000001010100110)
(verbatim, 0010000001010100111)
(matron, 00100000010101010)
(quits, 001000000101010110)
(converging, 001000000101010111)
(unearthed, 001000000101011000)
(exhilarating, 0010000001010110010)
(equilibriums, 0010000001010110011)
(proximity, 0010000001010110100)
(Between, 0010000001010110101)
(trans, 0010000001010110110)
(protoplasm, 0010000001010110111)
(detection, 0010000001010111000)
(businesswomen, 0010000001010111001)
(disagreement, 001000000101011101)
(branded, 001000000101011110)
(shovels, 0010000001010111110)
(dowager, 0010000001010111111)
(trunk, 00100000010110000)
(lasting, 0010000001011000100)
(annexes, 0010000001011000101)
(yellowed, 001000000101100011)
(cabbages, 001000000101100100)
(tallow, 001000000101100101)
(designers, 001000000101100110)
(designer, 001000000101100111)
(reddish, 0010000001011010)
(Hanson's, 0010000001011011000)
(Miller's, 0010000001011011001)
(shapelessness, 001000000101101101)
(fiat, 001000000101101110)
(hissing, 001000000101101111)
(soggy, 0010000001011100)
(offended, 0010000001011101)
(snail, 001000000101111000)
(unchecked, 001000000101111001)
(drawers, 00100000010111101)
(servant, 0010000001011111)
(recapture, 001000000110000)
